"gene"	"count"
"1"	"ENSG00000127720"	0
"2"	"ENSG00000109819"	0
"3"	"ENSG00000161057"	0
"4"	"ENSG00000051596"	0
"5"	"ENSG00000189241"	1
"6"	"ENSG00000182511"	1
"7"	"ENSG00000100796"	0
"8"	"ENSG00000135541"	0
"9"	"ENSG00000143376"	0
"10"	"ENSG00000165240"	1
"11"	"ENSG00000180739"	0
"12"	"ENSG00000172020"	0
"13"	"ENSG00000172172"	0
"14"	"ENSG00000100218"	0
"15"	"ENSG00000029639"	1
"16"	"ENSG00000132604"	1
"17"	"ENSG00000139218"	0
"18"	"ENSG00000111218"	0
"19"	"ENSG00000142185"	0
"20"	"ENSG00000162676"	0
"21"	"ENSG00000131724"	1
"22"	"ENSG00000101194"	0
"23"	"ENSG00000112812"	0
"24"	"ENSG00000005884"	1
"25"	"ENSG00000128595"	0
"26"	"ENSG00000136531"	2
"27"	"ENSG00000100211"	2
"28"	"ENSG00000183617"	0
"29"	"ENSG00000175220"	1
"30"	"ENSG00000112981"	0
"31"	"ENSG00000168283"	0
"32"	"ENSG00000178934"	0
"33"	"ENSG00000034510"	0
"34"	"ENSG00000187608"	0
"35"	"ENSG00000174684"	0
"36"	"ENSG00000206283"	0
"37"	"ENSG00000131652"	2
"38"	"ENSG00000090539"	0
"39"	"ENSG00000102805"	0
"40"	"ENSG00000119314"	0
"41"	"ENSG00000159259"	0
"42"	"ENSG00000100568"	0
"43"	"ENSG00000108468"	0
"44"	"ENSG00000169313"	0
"45"	"ENSG00000158109"	0
"46"	"ENSG00000136044"	0
"47"	"ENSG00000102057"	1
"48"	"ENSG00000130349"	0
"49"	"ENSG00000113163"	1
"50"	"ENSG00000179776"	1
"51"	"ENSG00000182333"	0
"52"	"ENSG00000141968"	0
"53"	"ENSG00000155760"	0
"54"	"ENSG00000125266"	0
"55"	"ENSG00000184220"	0
"56"	"ENSG00000132669"	1
"57"	"ENSG00000107404"	1
"58"	"ENSG00000105829"	0
"59"	"ENSG00000165985"	0
"60"	"ENSG00000160111"	1
"61"	"ENSG00000169026"	0
"62"	"ENSG00000131238"	0
"63"	"ENSG00000196220"	1
"64"	"ENSG00000088451"	0
"65"	"ENSG00000156049"	2
"66"	"ENSG00000131153"	0
"67"	"ENSG00000101146"	0
"68"	"ENSG00000164330"	0
"69"	"ENSG00000105053"	0
"70"	"ENSG00000160285"	0
