"Ensembl","gene","bp","mu_syn","mu_mis","mu_lof","n_syn","n_mis","n_lof","exp_syn","exp_mis","exp_lof","syn_z","mis_z","lof_z","pLI","pRec","pNull"
"ENSG00000127720","METTL25",1812,6.46022259503e-06,1.59937861015e-05,1.48976601148e-06,83,250,14,77.5445092918,184.095500273,21.6830778348,-0.384067640603861,-2.37580053169607,1.63442299739002,1.64825272550087e-07,0.848092354519789,0.151907480654939
"ENSG00000109819","PPARGC1A",2397,9.72621495658e-06,2.3371406316e-05,1.90568506311e-06,101,254,1,115.648311,270.251148,27.04006215,0.844436636348428,0.483521150656139,4.96052713015477,0.999660628733418,0.000339371112756326,1.53825587313632e-10
"ENSG00000161057","PSMC2",1302,5.20519899615e-06,1.31215452855e-05,1.38870616209e-06,56,57,0,63.2237959601,151.932681041,20.3731711199,0.563215864951783,3.76709584487147,4.47114750257682,0.999210832748991,0.000789161309085552,5.94192349064721e-09
"ENSG00000051596",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000189241","TSPYL1",1314,8.17874713059e-06,1.69969955463e-05,8.98708557514e-07,92,132,5,93.086,192.9986485,10.60165212,0.069780983037822,2.14762906747586,1.70419403812274,0.00799158689730585,0.929494180751712,0.0625142323509823
"ENSG00000182511","FES",2469,1.30632975861e-05,3.01833516313e-05,2.65234654207e-06,150,269,14,140.470905906,320.709892702,34.9480950931,-0.498434578942356,1.4123227838193,3.51012382338878,2.77390387287312e-05,0.999827901522206,0.000144359439064942
"ENSG00000100796",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000135541","AHI1",3591,1.07818896421e-05,3.10542953419e-05,3.45056442178e-06,154,382,28,115.477967498,313.855961462,42.073940937,-2.22233041170719,-1.88139044230825,2.14930888262458,3.25663341010612e-14,0.868666138660539,0.131333861339428
"ENSG00000143376","SNX27",1587,9.78765206474e-06,1.92310011346e-05,1.89776662971e-06,67,121,0,93.135050043,186.729635899,25.5206018853,1.67886669254673,2.35272315368463,5.00420546884175,0.999884818815405,0.000115181129934054,5.46611403901569e-11
"ENSG00000165240","ATP7A",4503,1.44694914615e-05,3.80814746656e-05,2.95971538717e-06,96,285,2,120.991196,305.0925348,31.25010561,1.40850917852587,0.562645202489228,5.18312192312616,0.999634377087713,0.000365622874965512,3.73212349762216e-11
"ENSG00000180739","S1PR5",1197,1.35573607777e-05,2.41475540782e-05,3.36721007868e-07,62,113,2,122.31517353947,217.600435144081,3.36245902457243,3.38092865439758,3.46832643846553,0.736011572266903,0.0574132950803294,0.711029029993166,0.231557674926505
"ENSG00000172020","GAP43",825,3.6130552494e-06,7.4365595751e-06,4.27496976465e-07,43,89,3,36.594134,72.8882082,3.91536081,-0.656480450868335,-0.923063528017841,0.458243245514352,0.0123799221019638,0.64860165936902,0.339018418529016
